Price Date,Max Price
30-05-2011,661
31-05-2011,671
02-06-2011,675
03-06-2011,705
06-06-2011,725
07-06-2011,788
08-06-2011,762
09-06-2011,813
13-06-2011,785
14-06-2011,800
15-06-2011,816
16-06-2011,851
17-06-2011,869
20-06-2011,925
21-06-2011,931
22-06-2011,937
23-06-2011,921
24-06-2011,910
27-06-2011,897
28-06-2011,912
29-06-2011,900
30-06-2011,929
04-07-2011,889
05-07-2011,882
06-07-2011,891
07-07-2011,900
08-07-2011,896
12-07-2011,902
13-07-2011,951
15-07-2011,980
18-07-2011,960
19-07-2011,929
20-07-2011,926
21-07-2011,926
22-07-2011,931
26-07-2011,909
27-07-2011,920
28-07-2011,911
29-07-2011,920
01-08-2011,936
02-08-2011,948
03-08-2011,1001
04-08-2011,1030
05-08-2011,1031
08-08-2011,1025
09-08-2011,1086
11-08-2011,1151
12-08-2011,1158
16-08-2011,1281
17-08-2011,1303
18-08-2011,1314
23-08-2011,1301
24-08-2011,1325
25-08-2011,1327
29-08-2011,1316
30-08-2011,1312
05-09-2011,1284
06-09-2011,1267
07-09-2011,1260
08-09-2011,1425
08-09-2011,1212
10-09-2011,1300
15-09-2011,1500
17-09-2011,1510
19-09-2011,1425
21-09-2011,1219
22-09-2011,1232
23-09-2011,1215
24-09-2011,1430
26-09-2011,1350
26-09-2011,1127
28-09-2011,1111
29-09-2011,1150
29-09-2011,1080
03-10-2011,1002
04-10-2011,1125
05-10-2011,1093
06-10-2011,1088
07-10-2011,1079
10-10-2011,1000
11-10-2011,1001
12-10-2011,1016
13-10-2011,1061
14-10-2011,1029
17-10-2011,1041
18-10-2011,1025
19-10-2011,1030
20-10-2011,1000
21-10-2011,1044
01-11-2011,1116
02-11-2011,1171
03-11-2011,1161
04-11-2011,1103
08-11-2011,1000
09-11-2011,961
11-11-2011,987
14-11-2011,1003
15-11-2011,906
16-11-2011,853
17-11-2011,749
18-11-2011,760
21-11-2011,899
22-11-2011,928
23-11-2011,979
24-11-2011,960
28-11-2011,825
29-11-2011,768
30-11-2011,775
02-12-2011,819
05-12-2011,877
07-12-2011,751
08-12-2011,601
09-12-2011,735
12-12-2011,651
13-12-2011,616
14-12-2011,601
15-12-2011,516
16-12-2011,442
19-12-2011,400
20-12-2011,386
21-12-2011,421
22-12-2011,1050
22-12-2011,383
23-12-2011,396
24-12-2011,800
26-12-2011,805
26-12-2011,412
27-12-2011,375
28-12-2011,380
29-12-2011,750
29-12-2011,370
30-12-2011,312
31-12-2011,710
02-01-2012,316
03-01-2012,342
04-01-2012,286
05-01-2012,236
06-01-2012,301
12-01-2012,201
13-01-2012,317
20-01-2012,513
24-01-2012,450
09-02-2012,436
17-02-2012,421
23-02-2012,415
27-02-2012,361
28-02-2012,350
29-02-2012,351
01-03-2012,395
02-03-2012,406
05-03-2012,415
06-03-2012,415
07-03-2012,360
09-03-2012,367
13-03-2012,469
14-03-2012,457
15-03-2012,460
16-03-2012,469
19-03-2012,480
20-03-2012,471
21-03-2012,476
26-03-2012,480
27-03-2012,481
03-04-2012,595
04-04-2012,575
09-04-2012,509
10-04-2012,510
11-04-2012,509
12-04-2012,506
13-04-2012,489
14-04-2012,535
16-04-2012,500
17-04-2012,511
18-04-2012,495
19-04-2012,470
20-04-2012,499
23-04-2012,492
24-04-2012,481
25-04-2012,500
26-04-2012,487
27-04-2012,512
30-04-2012,511
02-05-2012,507
03-05-2012,519
04-05-2012,511
07-05-2012,540
08-05-2012,512
09-05-2012,500
10-05-2012,507
11-05-2012,531
14-05-2012,563
15-05-2012,556
16-05-2012,551
17-05-2012,539
18-05-2012,568
21-05-2012,515
22-05-2012,535
23-05-2012,529
24-05-2012,529
25-05-2012,536
28-05-2012,525
29-05-2012,560
30-05-2012,567
31-05-2012,551
01-06-2012,602
02-06-2012,650
04-06-2012,650
04-06-2012,568
05-06-2012,568
06-06-2012,591
07-06-2012,591
08-06-2012,600
11-06-2012,568
12-06-2012,556
13-06-2012,620
14-06-2012,649
15-06-2012,635
18-06-2012,655
20-06-2012,652
21-06-2012,625
22-06-2012,618
25-06-2012,602
26-06-2012,614
27-06-2012,652
28-06-2012,671
29-06-2012,662
02-07-2012,711
04-07-2012,682
05-07-2012,676
06-07-2012,639
09-07-2012,623
10-07-2012,600
11-07-2012,611
12-07-2012,626
13-07-2012,636
16-07-2012,616
17-07-2012,644
18-07-2012,667
20-07-2012,655
23-07-2012,661
24-07-2012,722
25-07-2012,700
26-07-2012,691
27-07-2012,661
31-07-2012,657
01-08-2012,674
03-08-2012,678
07-08-2012,728
08-08-2012,731
09-08-2012,752
13-08-2012,799
16-08-2012,783
22-08-2012,808
23-08-2012,795
24-08-2012,803
27-08-2012,753
28-08-2012,761
29-08-2012,769
30-08-2012,747
31-08-2012,752
03-09-2012,756
04-09-2012,737
05-09-2012,751
06-09-2012,745
07-09-2012,748
10-09-2012,728
11-09-2012,683
12-09-2012,670
14-09-2012,702
17-09-2012,730
18-09-2012,731
21-09-2012,719
26-09-2012,752
27-09-2012,700
28-09-2012,646
29-09-2012,741
01-10-2012,711
03-10-2012,701
04-10-2012,725
05-10-2012,713
06-10-2012,680
08-10-2012,950
08-10-2012,738
09-10-2012,859
10-10-2012,1000
11-10-2012,1025
11-10-2012,881
12-10-2012,822
13-10-2012,975
13-10-2012,851
15-10-2012,1000
15-10-2012,901
16-10-2012,903
17-10-2012,1125
18-10-2012,1255
18-10-2012,1152
19-10-2012,1175
